index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,line,0,0.0,1320.0537,51.005314
0,line,1,0.0,1744.8398,1181.9984
1,line,0,0.0,1755.4595,1277.5752
1,line,1,0.0,1670.5024,2339.5403
2,line,0,0.0,1091.7312,2275.8225
2,line,1,0.0,2466.9766,2435.117
3,line,0,1.0,3985.5864,2546.6235
3,line,1,1.0,2812.1145,2918.307
4,line,0,1.0,2727.1577,1697.0514
4,line,1,1.0,3114.7744,2302.3706
5,line,0,1.0,2551.9333,475.7914
5,line,1,1.0,2594.412,1728.9108
6,line,0,1.0,2042.1901,820.9301
6,line,1,1.0,1845.7266,1697.0515
7,line,0,1.0,1612.0942,1251.026
7,line,1,1.0,1771.3889,2196.175
8,line,0,1.0,778.4515,656.3255
8,line,1,1.0,1091.7316,1675.8118
9,line,0,2.0,2987.339,1012.08386
9,line,1,2.0,1957.2344,1325.3647
10,line,0,2.0,2971.4097,629.77637
10,line,1,2.0,2562.5532,1112.9707
11,line,0,2.0,2541.3137,1505.8977
11,line,1,2.0,2334.2305,1946.6135
12,line,0,2.0,651.0157,2737.7773
12,line,1,2.0,1670.5032,3613.8997
13,line,0,3.0,1973.1624,1017.3937
13,line,1,3.0,2201.484,2605.0305
14,line,0,3.0,2419.1877,911.19714
14,line,1,3.0,2838.6614,1999.7113
15,line,0,3.0,3624.5183,3199.7322
15,line,1,3.0,4059.923,3555.4895
16,line,0,3.0,2105.908,252.7787
16,line,1,3.0,2119.1826,266.05328
17,line,0,4.0,1601.4745,35.075836
17,line,1,4.0,1314.7437,512.9602
18,line,0,4.0,3289.9993,2440.427
18,line,1,4.0,2594.4126,2190.8652
19,line,0,4.0,2509.4548,2217.4143
19,line,1,4.0,1782.0088,2732.468
20,line,0,4.0,2727.1577,3730.7148
20,line,1,4.0,1893.5137,2982.0288
21,line,0,5.0,2907.6917,597.9174
21,line,1,5.0,2536.0032,1665.1921
22,line,0,5.0,1505.8977,2270.5127
22,line,1,5.0,8.525879,3258.1392
23,line,0,5.0,2153.6965,3056.367
23,line,1,5.0,1776.6965,2689.99
24,line,0,5.0,3120.0847,2620.9612
24,line,1,5.0,2382.0186,2111.2175
25,line,0,5.0,2355.47,1840.4167
25,line,1,5.0,1224.4778,1924.566
26,line,0,5.0,29.766008,1277.5752
26,line,1,5.0,592.6074,1723.6006
27,line,0,5.0,40.385662,486.41104
27,line,1,5.0,672.255,1750.1493
28,line,0,6.0,1516.5173,1420.9404
28,line,1,6.0,2291.7532,2052.8098
29,line,0,6.0,2849.2837,1840.4167
29,line,1,6.0,2026.2598,2190.8655
30,line,0,6.0,3688.2363,1033.3231
30,line,1,6.0,3258.1406,2350.1602
31,line,0,7.0,1474.0387,3109.465
31,line,1,7.0,778.4509,2950.1702
32,line,0,7.0,539.50934,3629.8281
32,line,1,7.0,114.723175,4091.783
33,line,0,7.0,226.22957,1776.6989
33,line,1,7.0,226.22957,2318.3003
34,line,0,8.0,555.4388,173.13132
34,line,1,8.0,24.455872,1314.7438
35,line,0,8.0,1957.2329,1314.7439
35,line,1,8.0,1261.6453,2716.5398
36,line,0,8.0,2684.679,2493.5254
36,line,1,8.0,1755.46,3019.198
37,line,0,9.0,1532.4468,2514.7646
37,line,1,9.0,629.77686,2944.8596
38,line,0,9.0,2838.664,3518.3218
38,line,1,9.0,4065.2349,4075.8523
39,line,0,9.0,3544.8708,1484.6583
39,line,1,9.0,3189.1128,2440.4263
40,line,0,9.0,1851.0364,2615.6514
40,line,1,9.0,1346.6033,3268.7607
41,line,0,9.0,412.0735,93.483925
41,line,1,9.0,343.04565,884.6482
42,line,0,9.0,449.24228,1001.4642
42,line,1,9.0,1038.6326,1022.7035
43,line,0,10.0,3805.0525,836.85956
43,line,1,10.0,2812.115,2196.1748
44,line,0,10.0,3412.1252,2036.8802
44,line,1,10.0,3576.7295,2987.3376
