index,axis-0,axis-1,axis-2
0,50,1697.051411,1962.542717
1,50,1723.600542,2063.429414
2,50,2095.28837,2063.429414
3,50,2259.89298,2095.28837
4,50,2334.230546,1819.177412
5,50,2520.07446,2334.230546
6,50,3141.324116,2355.46985
7,50,3263.450117,2631.580809
8,50,3242.210813,2737.777331
9,50,3300.6189,2828.044375
10,50,3295.309074,2913.001593
11,0,1139.519668,284.6376628
12,0,1298.814452,353.6654023
13,0,1383.77167,236.8492277
14,0,1766.079151,66.93479176
15,1,969.6052325,1564.305758
16,1,1373.152018,1596.164715
17,1,1606.784367,1543.066454
18,1,1665.192454,1468.728888
19,1,1543.066454,1383.77167
20,1,2360.779676,1633.333498
21,1,2870.522984,1861.656021
22,0,720.0434047,1941.303413
23,2,815.6202749,916.5069713
24,2,666.9451435,2005.021326
25,2,539.5093166,2312.991241
26,2,210.3000971,3114.774986
27,2,194.3706187,3178.492899
28,2,2243.963502,3587.349511
29,2,2466.976199,4070.543688
30,2,1628.023672,1251.026017
31,3,459.8619248,518.2700121
32,3,274.0180105,651.0156652
33,3,2944.86055,1973.162369
34,4,1065.182103,1208.547408
35,4,1266.955495,661.6353174
36,4,1405.010974,1112.970538
37,4,1314.74393,1697.051411
38,4,1463.419062,3098.845507
39,4,2020.950805,1309.434104
40,4,2143.076805,666.9451435
41,4,2222.724197,990.844537
42,4,2036.880283,953.6757541
43,4,2228.034023,1776.698803
44,4,2928.931071,603.2272301
45,4,3401.505596,3672.306728
46,4,3656.37725,3656.37725
47,5,2419.187764,2451.04672
48,5,1888.205152,3274.069769
49,5,2169.625936,3263.450117
50,5,2419.187764,3231.59116
51,5,2594.412026,3093.535681
52,5,2737.777331,3024.507942
53,5,2089.978544,3619.208467
54,5,1973.162369,3645.757598
55,5,2732.467505,3189.112551
56,6,1654.572802,1420.940453
57,6,1601.474541,1537.756628
58,6,1808.55776,1606.784367
59,7,1070.491929,2323.610894
60,7,1304.124278,2281.132285
61,7,1458.109236,2265.202806
62,7,1447.489583,2408.568111
63,7,1574.92541,2265.202806
64,7,1994.401674,2095.28837
65,7,1904.13463,2339.540372
66,7,2344.850198,2153.696458
67,8,1304.124278,1197.927756
68,8,1181.998277,1192.61793
69,8,2397.948459,3130.704464
70,8,2387.328807,2944.86055
71,8,2212.104545,3109.46516
72,8,2137.766979,3146.633942
73,9,1420.940453,1389.081496
74,9,1362.532365,1431.560105
75,9,1410.320801,1511.207497
76,9,1357.222539,1548.37628
77,9,1511.207497,1659.882628
78,9,1367.842192,1803.247934
79,9,1335.983235,1877.585499
80,9,1261.645669,1829.797064
81,9,2010.331152,2498.835156
82,9,2116.527675,2541.313765
83,9,1999.7115,2652.820113
84,9,2132.457153,2360.779676
85,9,2504.144982,3024.507942
86,9,2642.200461,2955.480202
87,9,2631.580809,2854.593506
88,9,2647.510287,2753.706809
89,9,2838.664027,2695.298722
90,9,2843.973853,1792.628281
91,10,1452.79941,1293.504626
92,10,3762.573773,741.2827092
93,10,3619.208467,794.3809705
94,10,3045.747246,2785.565766
95,10,3040.43742,3013.888289
96,11,1951.923065,1872.275673
97,11,1707.671063,2796.185418
98,11,2047.499935,2132.457153
99,11,2174.935762,1707.671063
100,12,1495.278019,2084.668718
101,12,1596.164715,2212.104545
102,12,1654.572802,2036.880283
103,12,1989.091848,2233.343849
104,12,2302.371589,2174.935762
105,12,2297.061763,2281.132285
106,12,1580.235236,2520.07446
107,12,1543.066454,2615.65133
108,13,826.2399272,1006.774015
109,13,900.5774929,958.9855802
110,13,1028.01332,1065.182103
111,13,2068.73924,3178.492899
112,13,2774.946114,3220.971508
113,13,2716.538027,3305.928726
114,13,3465.22351,3364.336813
115,14,2843.973853,1681.121933
116,14,2413.877938,2243.963502
117,14,2355.46985,2323.610894
118,14,2413.877938,2397.948459
119,14,2488.215503,2493.525329
120,14,1367.842192,1750.149672
121,14,1415.630627,1829.797064
122,14,874.0283623,2966.099854
123,15,1245.716191,1389.081496
124,15,1782.008629,1261.645669
125,15,2005.021326,1219.16706
126,15,1989.091848,3178.492899
