index,axis-0,axis-1,axis-2,Unnamed: 4
0,1,1203.237582,2355.46985,
1,1,1192.61793,2435.117242,
2,1,1298.814452,2286.442111,
3,1,1893.514978,2243.963502,
4,1,1946.613239,2312.991241,
5,1,2127.147327,2132.457153,
6,1,2164.31611,2052.809761,
7,1,2275.822458,2079.358892,
8,1,2387.328807,2005.021326,
9,1,2520.07446,2020.950805,
10,1,2520.07446,2148.386632,
11,1,2780.25594,1776.698803,
12,1,2854.593506,1702.361237,
13,2,3916.55873,1012.083841,
14,2,3890.009599,1112.970538,
15,2,3688.236207,1219.16706,
16,2,3736.024642,1320.053757,
17,2,3459.913684,1622.713845,
18,2,3374.956466,1750.149672,
19,2,3311.238552,1840.416716,
20,2,3226.281334,1914.754282,
21,2,3236.900986,2005.021326,
22,2,3311.238552,1585.545063,
23,2,3279.379595,1681.121933,
24,2,3242.210813,1776.698803,
25,2,2849.28368,2228.034023,
26,2,2796.185418,2212.104545,
27,2,2753.706809,2148.386632,
28,2,2674.059418,2180.245588,
29,2,2567.862895,2079.358892,
30,2,2328.92072,2249.273328,
31,2,2196.175067,2185.555414,
32,2,1840.416716,2514.764634,
33,2,1447.489583,2461.666373,
34,2,969.6052325,2461.666373,
35,2,831.5497533,2413.877938,
36,2,815.6202749,2567.862895,
37,2,1155.449147,2721.847853,
38,2,566.0584472,2875.83281,
39,2,353.6654023,3215.661682,
40,2,268.7081844,3268.759943,
41,3,789.0711443,2174.935762,
42,3,1033.323146,2180.245588,
43,3,805.0006227,2387.328807,
44,3,900.5774929,2514.764634,
45,3,980.2248847,2551.933417,
46,3,1033.323146,2647.510287,
47,3,704.1139264,2493.525329,
48,3,581.9879256,2429.807416,
49,3,1458.109236,2663.439765,
50,3,1564.305758,2514.764634,
51,3,1723.600542,2509.454808,
52,3,1463.419062,2514.764634,
53,3,1744.839846,2668.749591,
54,3,1888.205152,2562.553069,
55,3,2052.809761,2727.157679,
56,3,2196.175067,2695.298722,
57,3,3587.349511,868.7185362,
58,3,3746.644294,964.2954063,
59,3,3698.855859,1028.01332,
60,3,3783.813077,1075.801755,
61,3,4033.374905,905.887319,
62,4,805.0006227,2626.270982,
63,4,911.1971451,2759.016636,
64,4,964.2954063,2737.777331,
65,4,1006.774015,2838.664027,
66,4,1346.602887,2822.734549,
67,4,1399.701148,2817.424723,
68,4,1256.335843,2684.67907,
69,4,1367.842192,2668.749591,
70,4,1920.064108,3374.956466,
71,4,1925.373934,3093.535681,
72,4,2005.021326,3040.43742,
73,4,1755.459498,2753.706809,
74,4,1787.318455,2594.412026,
75,4,1691.741585,2594.412026,
76,4,1643.95315,2466.976199,
77,4,1564.305758,2376.709155,
78,4,1580.235236,2482.905677,
79,4,1585.545063,2334.230546,
80,4,1670.502281,2387.328807,
81,4,1712.98089,2339.540372,
82,4,1856.346195,2451.04672,
83,4,1776.698803,2217.414371,
84,4,1633.333498,2143.076805,
85,4,1633.333498,1999.7115,
86,4,1728.910368,2010.331152,
87,4,1335.983235,77.55444401,
88,5,3974.966817,2307.681415,
89,5,2785.565766,1134.209842,
90,5,2913.001593,1118.280364,
91,5,2891.762289,1235.096539,
92,5,2982.029333,1256.335843,
93,5,2838.664027,1277.575148,
94,5,2451.04672,1410.320801,
95,5,2233.343849,1643.95315,
96,5,2360.779676,2307.681415,
97,5,2095.28837,2403.258285,
98,5,2047.499935,2116.527675,
99,5,1962.542717,2143.076805,
100,5,1845.726543,2217.414371,
101,5,1277.575148,2466.976199,
102,5,1298.814452,2620.961156,
103,5,1086.421407,2504.144982,
104,5,1144.829494,2403.258285,
105,5,990.844537,2382.018981,
106,5,937.7462757,2488.215503,
107,6,348.3555762,1431.560105,
108,6,449.2422725,1495.278019,
109,6,560.7486211,1628.023672,
110,6,619.1567084,1659.882628,
111,6,690.8261019,1662.215597,
112,6,665.3184499,1741.572736,
113,6,849.5403813,1815.261509,
114,6,880.7164005,1874.779364,
115,6,821.1985457,1863.442629,
116,6,948.7368059,1900.287016,
117,6,1076.275066,1979.644155,
118,6,1297.341384,2070.338029,
119,6,1504.236784,2107.182416,
120,6,1688.458715,1922.960484,
121,6,1696.961266,1809.593142,
122,6,1830.167893,1832.26661,
123,6,1867.01228,1911.62375,
124,6,1949.203603,1951.30232,
125,6,1949.203603,1818.095692,
126,6,2138.000038,30.31095963,
127,6,2233.576908,120.5780037,
128,6,2451.279779,1352.457664,
129,6,2488.448562,1368.387142,
130,6,2520.307518,1373.696968,
131,6,2488.448562,1506.442621,
132,6,2371.632387,1602.019492,
133,6,2499.068214,1676.357057,
134,6,2408.80117,1713.52584,
135,6,2451.279779,1830.342015,
136,6,2509.687866,1750.694623,
137,6,2568.095954,1909.989407,
138,6,2658.362998,1920.609059,
139,6,2424.730648,1920.609059,
140,6,2419.420822,2037.425234,
141,6,2382.252039,2143.621756,
142,6,2382.252039,2244.508452,
143,6,2525.617345,2196.720017,
144,6,2376.942213,2334.775496,
145,6,2472.519083,2488.760454,
146,6,2313.2243,2509.999759,
147,6,2291.984995,2563.09802,
148,6,2276.055517,2589.64715,
149,6,2323.843952,2610.886455,
150,6,2132.690212,2525.929237,
151,6,2095.521429,2610.886455,
152,6,2191.098299,2754.25176,
153,6,2249.506386,2977.264457,
154,6,2329.153778,3046.292197,
155,6,2945.093608,2897.617065,
156,6,3199.965262,3099.390458,
157,6,3295.542132,2817.969674,
158,6,3438.907438,2886.997413,
159,6,3316.781437,3046.292197,
160,6,3364.569872,3062.221675,
161,6,3422.977959,3120.629763,
162,6,3608.821873,2727.70263,
163,6,3677.849613,2685.224021,
164,6,4007.058833,2403.803236,
165,6,3980.509702,444.4773971,
166,6,3948.650745,545.3640934,
167,6,3709.70857,757.7571383,
168,6,1038.86603,3205.58698,
169,6,1129.133075,3662.232027,
170,6,900.8105513,4087.018117,
171,6,1277.808206,4012.680551,
172,6,1426.483337,3933.033159,
173,6,1453.032468,4044.539508,
174,6,1495.511077,3991.441247,
175,6,1537.989686,3917.103681,
176,6,1527.370034,3842.766115,
177,6,1394.624381,3816.216984,
178,6,1622.946904,3996.751073,
179,6,1686.664817,3874.625072,
180,6,2706.151433,147.1271343,
181,7,2005.254385,1002.00914,
182,7,1814.100644,1203.782533,
183,7,1723.8336,1166.61375,
184,7,1607.017425,1474.583665,
185,7,1607.017425,1713.52584,
186,7,1293.737684,1756.004449,
187,7,1272.49838,1872.820624,
188,7,1022.936552,2106.452973,
189,7,2122.070559,2079.903843,
190,7,2430.040474,2010.876103,
191,7,2615.884389,2053.354712,
192,7,2722.080911,2148.931582,
193,7,2700.841607,2302.91654,
194,7,1314.976989,3768.428549,
195,7,980.4579431,4033.919855,
196,7,895.5007252,4055.15916,
197,8,1527.370034,30.31095963,
198,8,1532.67986,322.3513963,
199,8,1134.442901,1718.835666,
200,8,1155.682205,1899.369755,
201,8,1421.173511,1819.722363,
202,8,1681.354991,2191.410191,
203,8,1856.579253,2106.452973,
204,8,1941.536471,2313.536192,
205,8,1851.269427,2419.732714,
206,8,1893.748036,2520.619411,
207,8,2143.309864,2525.929237,
208,8,1877.818558,2637.435585,
209,8,1999.944558,2706.463325,
210,8,2138.000038,2759.561586,
211,8,2201.717951,2807.350021,
212,8,2552.166475,3040.982371,
213,8,2095.521429,3009.123414,
214,8,1984.01508,2886.997413,
215,8,1888.43821,2770.181238,
216,8,1814.100644,2711.773151,
217,8,1495.511077,2446.281845,
218,8,2329.153778,1655.117753,
219,8,2419.420822,1686.97671,
220,8,2276.055517,1819.722363,
221,8,2345.083256,1963.087668,
222,8,2291.984995,2069.28419,
223,8,3853.073875,3301.163851,
224,8,3805.28544,3412.670199,
225,8,3571.653091,3640.992722,
226,9,746.8255937,131.1976559,
227,9,566.2915056,274.5629612,
228,9,720.2764631,317.0415702,
229,9,985.7677692,343.5907008,
230,9,1033.556204,322.3513963,
231,9,1166.301857,232.0843523,
232,9,1368.07525,603.7721808,
233,9,1946.846297,853.3340085,
234,9,2068.972298,885.1929652,
235,9,2031.803515,1007.318966,
236,9,1936.226645,1092.276184,
237,9,1872.508732,1055.107401,
238,9,1883.128384,1134.754793,
239,9,1962.775776,1347.147838,
240,9,1962.775776,1421.485404,
241,9,1962.775776,1517.062274,
242,9,1830.030123,1453.34436,
243,9,1803.480992,1559.540883,
244,9,1792.86134,1734.765145,
245,9,2037.113341,1665.737405,
246,9,1989.324906,1724.145492,
247,9,1909.677514,1766.624101,
248,9,1856.579253,1782.55358,
249,9,1909.677514,1862.200972,
250,9,1984.01508,1771.933928,
251,9,2042.423167,1835.651841,
252,9,2138.000038,1750.694623,
253,9,2159.239342,1936.538537,
254,9,2228.267082,2032.115408,
255,9,1957.46595,2069.28419,
256,9,1968.085602,2170.170887,
257,9,1978.705254,2276.367409,
258,9,1840.649775,2217.959322,
259,9,1914.987341,2382.563932,
260,9,2461.899431,1809.10271,
261,9,2711.461259,1570.160535,
262,9,2738.010389,1543.611404,
263,9,3104.388392,1532.991752,
264,9,3077.839261,1617.94897,
265,9,2791.108651,1793.173232,
266,9,2961.023087,1814.412537,
267,9,3045.980304,1809.10271,
268,9,3130.937522,1766.624101,
269,9,3279.612654,1777.243754,
270,9,3316.781437,1771.933928,
271,9,2860.13639,2026.805581,
272,9,2849.516738,3083.46098,
273,9,2929.16413,3487.007765,
274,9,2838.897086,3455.148808,
275,9,2153.929516,2478.140802,
276,9,2058.352646,2451.591671,
277,9,1941.536471,2504.689932,
278,9,2084.901776,3072.841327,
279,9,2042.423167,3248.065589,
280,9,2026.493689,3333.022807,
281,9,2116.760733,3269.304894,
282,9,2138.000038,3200.277154,
283,9,2063.662472,3168.418198,
284,9,1936.226645,3263.995068,
285,9,1909.677514,3370.19159,
286,9,1782.241688,3715.330288,
287,9,1824.720296,3895.864376,
288,9,1660.115687,3317.093329,
289,9,1553.919164,3444.529156,
290,9,1479.581599,3274.61472,
291,9,1405.244033,3274.61472,
292,9,1314.976989,3269.304894,
293,9,1293.737684,3439.21933,
294,9,1145.062553,3295.854025,
295,9,1012.3169,3386.121069,
296,9,975.148117,3263.995068,
297,10,205.2233293,917.051922,
298,10,295.4903734,975.4600093,
299,10,391.0672436,1097.58601,
300,10,444.1655048,1145.374445,
301,10,518.5030705,1134.754793,
302,10,491.9539399,1198.472706,
303,10,677.7978542,1272.810272,
304,10,645.9388974,1336.528186,
305,10,720.2764631,1336.528186,
306,10,773.3747244,1379.006795,
307,10,906.1203774,1437.414882,
308,10,1118.513422,1570.160535,
309,10,1341.526119,1580.780187,
310,10,1522.060208,1299.359403,
311,10,1511.440555,1389.626447,
312,10,1649.496034,1315.288881,
313,10,1771.622035,1283.429924,
314,10,1676.045165,1389.626447,
315,10,1776.931861,1416.175577,
316,10,2286.675169,826.7848779,
317,10,2329.153778,826.7848779,
318,10,2350.393083,832.094704,
319,10,2318.534126,991.3894877,
320,10,2207.027777,1081.656532,
321,10,2318.534126,1124.135141,
322,10,2334.463604,1214.402185,
323,10,2376.942213,1384.316621,
324,10,2488.448562,1394.936273,
325,10,2244.19656,1394.936273,
326,10,2244.19656,1495.822969,
327,10,2212.337603,1596.709666,
328,10,2212.337603,1692.286536,
329,10,2350.393083,1665.737405,
330,10,2217.647429,1825.032189,
331,10,2307.914474,1963.087668,
332,10,2153.929516,1968.397494,
333,10,2122.070559,2021.495755,
334,10,2095.521429,2090.523495,
335,10,2143.309864,2069.28419,
336,10,1973.395428,1973.70732,
337,10,1930.916819,2090.523495,
338,10,2026.493689,2217.959322,
339,10,2090.211603,2430.352367,
340,10,2148.61969,2494.07028,
341,10,2759.249694,2345.395149,
342,10,3130.937522,2297.606714,
343,10,3263.683175,2350.704975,
