index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,line,0,1,682.87463,2435.1172
0,line,1,1,2610.341,2074.049
1,line,0,1,2610.3416,2074.049
1,line,1,1,2987.3386,1659.8826
2,line,0,2,3141.3242,1973.1624
2,line,1,2,1314.7437,2578.4817
3,line,0,2,1118.2804,2790.8755
3,line,1,2,151.89178,3197.2378
4,line,0,2,332.4261,3157.2537
4,line,1,2,412.0735,3385.5757
5,line,0,2,3937.798,1043.9427
5,line,1,2,3311.2395,1702.3601
6,line,0,2,3311.2385,1702.3612
6,line,1,2,3120.0852,2132.457
7,line,0,2,783.7613,2451.0466
7,line,1,2,1320.0535,2578.4824
8,line,0,2,810.3104,2514.7646
8,line,1,2,1150.1396,2785.5652
9,line,0,3,1059.8723,2005.0214
9,line,1,3,635.0864,2498.8345
10,line,0,3,528.88965,2334.2305
10,line,1,3,1017.39343,2636.8894
11,line,0,3,2084.6687,2668.7495
11,line,1,3,1405.0107,2597.1238
12,line,0,3,1898.8248,2477.596
12,line,1,3,2493.5244,2817.425
13,line,0,3,3603.279,863.4087
13,line,1,3,4070.5435,985.53394
14,line,0,3,3863.4604,980.2249
14,line,1,3,3725.4053,1049.2526
15,line,0,4,1686.4318,1829.7971
15,line,1,4,2074.048,3672.3076
16,line,0,4,805.0006,2636.8906
16,line,1,4,2228.0342,2828.0437
17,line,0,4,1081.1116,1978.4722
17,line,1,4,1946.613,2636.8894
18,line,0,4,1405.011,19.146357
18,line,1,4,1410.3208,135.96254
19,line,0,5,2817.4248,1187.3081
19,line,1,5,2222.723,1877.5854
20,line,0,5,2732.4675,1160.759
20,line,1,5,2143.0762,1750.1489
21,line,0,5,2190.8652,2042.1901
21,line,1,5,1840.416,2291.7515
22,line,0,5,2382.019,2281.1323
22,line,1,5,1521.8254,2594.4114
23,line,0,5,1521.8271,2594.412
23,line,1,5,953.6761,2429.8076
24,line,0,5,3927.1785,2180.2456
24,line,1,5,4065.234,2297.0615
25,line,0,6,2068.7393,1845.7266
25,line,1,6,725.354,2413.8777
26,line,0,6,725.3532,2413.878
26,line,1,6,592.60767,2605.0315
27,line,0,6,337.73593,1463.4191
27,line,1,6,539.5093,1723.6005
28,line,0,6,539.50934,1723.6006
28,line,1,6,1288.1948,2143.0771
29,line,0,6,2259.893,8.526705
29,line,1,6,2477.5955,1309.4342
30,line,0,6,2477.596,1309.4341
30,line,1,6,2424.4976,1601.4746
31,line,0,6,2440.427,1590.8549
31,line,1,6,2594.4119,1909.4441
32,line,0,6,2488.2156,1803.2479
32,line,1,6,2397.9487,3051.0576
33,line,0,6,2206.7947,2546.6235
33,line,1,6,2461.6663,3242.2104
34,line,0,6,1176.6885,3624.5183
34,line,1,6,1367.842,4043.9946
35,line,0,6,3348.4072,2737.7773
35,line,1,6,3550.1812,3210.3516
36,line,0,6,2764.3264,2891.7622
36,line,1,6,3449.2935,3194.1
37,line,0,6,3996.206,2212.1045
37,line,1,6,3624.519,2716.5376
38,line,0,6,4054.6143,528.88965
38,line,1,6,3645.7566,964.29504
39,line,0,6,2865.4463,274.56296
39,line,1,6,2504.3787,30.31099
40,line,0,7,2026.4937,1028.5582
40,line,1,7,1028.2473,2233.8865
41,line,0,7,2350.393,821.47504
41,line,1,7,1219.4026,2095.8333
42,line,0,7,1304.3573,1819.7224
42,line,1,7,2424.7312,2028.0911
43,line,0,7,2414.111,2037.4253
43,line,1,7,2976.9517,2366.6348
44,line,0,7,1346.8359,3561.3452
44,line,1,7,932.66956,4065.7783
45,line,0,7,1660.1157,1665.7374
45,line,1,7,1867.1991,2164.8625
46,line,0,8,4060.157,3253.3755
46,line,1,8,3518.555,3800.2864
47,line,0,8,1537.9897,35.620785
47,line,1,8,1654.8058,566.6034
48,line,0,8,2132.6902,1278.1201
48,line,1,8,2207.0276,1623.2588
49,line,0,8,2217.6475,1639.1882
49,line,1,8,2472.5186,2048.0457
50,line,0,8,1527.37,2430.3523
50,line,1,8,2068.9722,2849.8286
51,line,0,8,2095.5215,2860.4482
51,line,1,8,2329.1533,4055.1594
52,line,0,8,826.47296,948.9109
52,line,1,8,1277.8076,1994.9464
53,line,0,8,1394.6244,1734.7651
53,line,1,8,2015.8727,2568.4072
54,line,0,8,1543.2996,1718.8357
54,line,1,8,2042.4226,2440.9712
55,line,0,8,2148.6196,2727.7026
55,line,1,8,2679.6013,3120.6292
56,line,0,9,396.37708,88.71905
56,line,1,9,1734.4532,927.6715
57,line,0,9,1426.4833,630.3213
57,line,1,9,1160.9918,731.2079
58,line,0,9,1214.0903,258.63348
58,line,1,9,635.32,264.0101
59,line,0,9,1989.325,906.43225
59,line,1,9,1888.4377,2387.8738
60,line,0,9,1888.4382,2387.8738
60,line,1,9,2042.423,2600.2664
61,line,0,9,2037.1133,2605.5767
61,line,1,9,1883.1284,4028.6106
62,line,0,9,927.3597,3311.7834
62,line,1,9,1936.2261,3412.67
63,line,0,9,1835.34,2393.1836
63,line,1,9,2716.7712,1671.0488
64,line,0,9,2716.771,1671.0472
64,line,1,9,3523.8643,1819.722
65,line,0,9,3024.741,1469.2738
65,line,1,9,2844.2073,3561.3447
66,line,0,9,2079.592,1639.1882
66,line,1,9,1522.0603,1994.9465
67,line,0,10,183.98402,943.6011
67,line,1,10,385.75745,1198.4724
68,line,0,10,385.75742,1198.4727
