index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,line,0,0.0,1330.6735,2243.9636
0,line,1,0.0,2159.006,2281.1323
1,line,0,0.0,1665.1925,1638.6433
1,line,1,0.0,1420.938,2201.4849
2,line,0,1.0,109.4134,2159.0063
2,line,1,1.0,1314.7441,1882.896
3,line,0,1.0,1314.7439,1882.8954
3,line,1,1.0,1872.2754,1574.9255
4,line,0,1.0,1452.7994,1102.3508
4,line,1,1.0,2318.2996,1548.3757
5,line,0,1.0,2212.1045,401.45383
5,line,1,1.0,1744.8408,1489.9674
6,line,0,1.0,1649.263,2302.3716
6,line,1,1.0,1532.447,2997.9578
7,line,0,1.0,1532.4468,2997.9587
7,line,1,1.0,1309.4343,3205.0415
8,line,0,1.0,210.3001,2711.2283
8,line,1,1.0,990.8445,2971.4102
9,line,0,1.0,465.17175,1330.6735
9,line,1,1.0,56.314972,2127.1477
10,line,0,1.0,327.11627,1617.404
10,line,1,1.0,369.59488,2074.0488
11,line,0,1.0,3980.2766,1558.996
11,line,1,1.0,2658.1301,2026.2607
12,line,0,1.0,3417.435,1782.0087
12,line,1,1.0,3088.2266,2472.286
13,line,0,1.0,1463.4191,1845.7266
13,line,1,1.0,1914.7546,2376.7083
14,line,0,1.0,1973.1624,1681.122
14,line,1,1.0,1633.3334,1989.0918
15,line,0,1.0,1686.4318,1256.3358
15,line,1,1.0,1829.7968,1766.0789
16,line,0,1.0,1643.9531,1304.1243
16,line,1,1.0,1686.4316,1951.9231
17,line,0,2.0,2950.1704,1792.6283
17,line,1,2.0,1298.8119,1877.5853
18,line,0,2.0,2254.5833,1442.1798
18,line,1,2.0,1824.4866,1277.5752
19,line,0,2.0,1824.4872,1277.5752
19,line,1,2.0,762.5217,1266.9554
20,line,0,2.0,4054.6143,2806.8052
20,line,1,2.0,3566.11,2689.989
21,line,0,2.0,3566.11,2689.989
21,line,1,2.0,3013.8882,2328.9204
22,line,0,3.0,1213.8572,2323.6108
22,line,1,3.0,2466.9749,3390.8904
23,line,0,3.0,2297.0618,3481.153
23,line,1,3.0,2886.4521,3348.4067
24,line,0,3.0,842.16943,1426.2502
24,line,1,3.0,353.77792,2310.874
25,line,0,3.0,870.6431,867.9578
25,line,1,3.0,870.6431,1845.6953
26,line,0,3.0,1279.8282,1126.3905
26,line,1,3.0,883.56445,1346.0581
27,line,0,3.0,1512.4176,631.0612
27,line,1,3.0,1460.7312,1789.7012
28,line,0,3.0,1163.5334,1837.0804
28,line,1,3.0,1163.5334,2194.5789
29,line,0,4.0,1650.2484,3068.9429
29,line,1,4.0,2421.2378,4076.829
30,line,0,4.0,2429.8535,3305.8394
30,line,1,4.0,2735.6663,4063.909
31,line,0,4.0,9.20085,441.5439
31,line,1,4.0,534.6807,967.0239
32,line,0,4.0,17.815271,820.5785
32,line,1,4.0,444.22925,1445.1245
33,line,0,4.0,250.40468,1109.1616
33,line,1,4.0,784.4991,1466.6611
34,line,0,5.0,2378.167,626.754
34,line,1,5.0,1124.7687,1182.3838
35,line,0,5.0,1146.3047,1208.2275
35,line,1,5.0,1486.5743,1458.0459
36,line,0,5.0,1960.3676,109.88863
36,line,1,5.0,1732.0845,1190.9985
37,line,0,5.0,465.76526,1656.1775
37,line,1,5.0,1275.521,2388.403
38,line,0,5.0,207.33257,2491.7766
38,line,1,5.0,1245.3696,3344.605
39,line,0,5.0,3476.506,2771.7454
39,line,1,5.0,2460.0024,3839.9316
40,line,0,5.0,3467.8916,2926.805
40,line,1,5.0,2369.5461,3594.4214
41,line,0,6.0,1430.5806,867.9578
41,line,1,6.0,1154.9192,3646.108
42,line,0,6.0,913.7152,2435.7827
42,line,1,6.0,2003.4397,2646.8374
