index,shape-type,vertex-index,axis-0,axis-1,axis-2
0,line,0,7.0,2089.9785,1994.4017
0,line,1,7.0,1829.7969,2859.903
1,line,0,7.0,2806.8052,1389.0815
1,line,1,7.0,2312.992,1081.112
2,line,0,7.0,258.08853,1574.9254
2,line,1,7.0,597.91736,1866.9658
3,line,0,7.0,847.47925,767.83185
3,line,1,7.0,422.69315,1235.0964
4,line,0,8.0,2297.0618,1335.9833
4,line,1,8.0,2966.0984,2488.2156
5,line,0,8.0,3513.012,3183.8027
5,line,1,8.0,3412.1255,3523.6318
6,line,0,9.0,1755.4595,1951.9231
6,line,1,9.0,842.16974,2088.825
7,line,0,9.0,1856.3462,1909.4445
7,line,1,9.0,2902.3833,2663.439
8,line,0,9.0,2371.3994,1203.2375
8,line,1,9.0,2302.3718,1505.898
9,line,0,9.0,2312.9912,1516.5173
9,line,1,9.0,2525.3843,1553.686
10,line,0,9.0,3321.8582,2190.8652
10,line,1,9.0,3024.5085,2769.6357
11,line,0,9.0,3396.1958,2228.034
11,line,1,9.0,3709.4749,2684.68
12,line,0,9.0,3890.0095,2498.8352
12,line,1,9.0,3300.619,2366.0898
13,line,0,10.0,1782.0087,438.62262
13,line,1,10.0,1325.3633,958.9852
14,line,0,10.0,1362.5323,1134.2098
14,line,1,10.0,1665.1926,1351.9122
15,line,0,10.0,242.15906,2047.4999
15,line,1,10.0,948.36566,2482.9048
16,line,0,10.0,1771.3889,2764.3264
16,line,1,10.0,2127.1467,3486.4631
17,line,0,10.0,1171.3787,1537.7566
17,line,1,10.0,1447.489,1893.5153
18,line,0,10.0,2137.767,2100.5981
18,line,1,10.0,2684.6802,2429.8062
19,line,0,10.0,2594.412,2599.722
19,line,1,10.0,2238.654,2928.9304
20,line,0,10.0,2344.85,428.00296
20,line,1,10.0,2679.3691,635.0861
21,line,0,10.0,3964.3472,1304.1243
21,line,1,10.0,3693.5464,1893.5155
22,line,0,10.0,2636.8906,2737.7773
22,line,1,10.0,2955.4795,3167.8723
23,line,0,11.0,566.0585,1474.0387
23,line,1,11.0,1431.5596,1266.9559
24,line,0,11.0,3528.9414,1537.7566
24,line,1,11.0,3327.1685,1803.2479
25,line,0,11.0,3327.168,1803.2479
25,line,1,11.0,3024.5085,1803.2479
26,line,0,11.0,3024.508,1808.5577
26,line,1,11.0,2806.8035,2169.6255
27,line,0,11.0,3029.8179,1224.4769
27,line,1,11.0,2950.1697,1574.9259
28,line,0,11.0,2950.1704,1574.9254
28,line,1,11.0,3045.747,1750.1494
29,line,0,11.0,3247.5208,1845.7266
29,line,1,11.0,3422.7454,2148.3865
30,line,0,11.0,1266.9554,2700.6086
30,line,1,11.0,1038.6329,3231.5908
31,line,0,11.0,465.17175,2732.4675
31,line,1,11.0,369.59485,3157.253
32,line,0,11.0,242.15906,3146.634
32,line,1,11.0,619.1566,3321.8582
33,line,0,12.0,1654.5728,2159.0063
33,line,1,12.0,2350.1597,2711.228
34,line,0,12.0,1643.9531,2148.3867
34,line,1,12.0,1341.2932,2397.948
35,line,0,12.0,2222.724,1654.5728
35,line,1,12.0,1447.4905,1714.2954
36,line,0,12.0,2222.724,1707.671
36,line,1,12.0,1835.1077,2020.9512
37,line,0,12.0,1298.8145,4028.0652
37,line,1,12.0,762.5225,3741.3345
38,line,0,12.0,1399.7012,2992.649
38,line,1,12.0,953.6759,2955.4802
39,line,0,13.0,3167.8733,534.19946
39,line,1,13.0,4006.8254,847.4794
40,line,0,13.0,470.48157,2148.3867
40,line,1,13.0,964.29565,2573.1724
41,line,0,13.0,2525.3843,2132.457
41,line,1,13.0,2010.3315,1665.1929
42,line,0,13.0,2010.3312,1665.1925
42,line,1,13.0,2541.314,1558.9957
43,line,0,13.0,2610.3416,1537.7566
43,line,1,13.0,3183.8015,1739.5311
44,line,0,14.0,465.17175,1410.3208
44,line,1,14.0,974.91504,2185.5552
45,line,0,14.0,2960.79,1442.1798
45,line,1,14.0,3305.928,2105.9077
46,line,0,14.0,2812.115,1782.0087
46,line,1,14.0,2562.5532,2190.865
47,line,0,14.0,1957.2329,2222.724
47,line,1,14.0,2509.4543,2275.8223
48,line,0,14.0,2509.4548,2275.8225
48,line,1,14.0,3311.2368,2647.51
49,line,0,14.0,2695.2988,2419.1877
49,line,1,14.0,3412.1248,2960.7888
50,line,0,14.0,279.32785,661.6353
50,line,1,14.0,566.0586,1187.3077
51,line,0,14.0,454.5521,449.24228
51,line,1,14.0,767.8319,1038.6327
52,line,0,15.0,2488.2156,720.0434
52,line,1,15.0,2700.6084,1251.0256
53,line,0,15.0,889.9578,2201.4849
53,line,1,15.0,1468.7295,2355.4695
54,line,0,16.0,51.005314,805.0006
54,line,1,16.0,369.59488,1028.0133
55,line,0,16.0,77.55444,682.87463
55,line,1,16.0,327.1162,874.02844
56,line,0,16.0,3300.619,805.0006
56,line,1,16.0,3619.2078,985.535
57,line,0,17.0,1994.4017,1670.5023
57,line,1,17.0,2520.0735,1999.7108
58,line,0,17.0,773.14166,3380.2664
58,line,1,17.0,1192.6177,3311.2383
59,line,0,17.0,2440.427,1495.2781
59,line,1,17.0,2849.2842,1739.5295
60,line,0,17.0,2849.2837,1739.53
60,line,1,17.0,2780.256,2020.951
61,line,0,17.0,2780.2559,2020.9508
61,line,1,17.0,3109.4648,1983.7821
62,line,0,18.0,1612.0942,1728.9104
62,line,1,18.0,1930.6836,1012.0836
63,line,0,18.0,2026.2606,927.12665
63,line,1,18.0,3305.927,1272.2649
64,line,0,18.0,3491.7727,858.0989
64,line,1,18.0,2700.6125,1389.0813
65,line,0,19.0,2366.0896,1898.8248
65,line,1,19.0,2626.2712,2350.16
66,line,0,19.0,2785.5657,-2.0929477
66,line,1,19.0,3220.971,204.9903
67,line,0,20.0,592.6076,1028.0133
67,line,1,20.0,1070.4917,921.81665
68,line,0,20.0,1070.492,921.8168
68,line,1,20.0,1580.2341,1474.0391
69,line,0,20.0,1394.3914,1357.2225
69,line,1,20.0,1261.6459,1558.9958
70,line,0,20.0,1261.6456,1558.996
70,line,1,20.0,948.3666,1442.1797
71,line,0,20.0,3056.367,3555.4905
71,line,1,20.0,3417.4348,3921.8682
72,line,0,20.0,3178.493,1898.8248
72,line,1,20.0,2812.115,2047.5002
73,line,0,20.0,2812.115,2047.4999
73,line,1,20.0,2971.4094,2451.0464
74,line,0,20.0,3900.6292,1872.2756
74,line,1,20.0,3481.152,2238.6538
75,line,0,21.0,2042.1901,1989.0918
75,line,1,21.0,3289.9976,2536.0032
76,line,0,21.0,1298.8145,2339.5403
76,line,1,21.0,2159.0066,2732.4692
77,line,0,21.0,937.7463,2291.752
77,line,1,21.0,1617.404,2700.6077
78,line,0,21.0,921.8168,2647.5103
78,line,1,21.0,1362.5323,2582.4126
79,line,0,21.0,1362.5323,2589.1023
79,line,1,21.0,2015.6409,2010.332
80,line,0,21.0,969.6052,2674.0593
80,line,1,21.0,1633.3333,3263.4517
81,line,0,22.0,3279.3796,1861.656
81,line,1,22.0,3927.179,2159.0056
82,line,0,22.0,3571.42,2955.4802
82,line,1,22.0,3890.0098,3268.7593
83,line,0,22.0,4049.3044,3146.634
83,line,1,22.0,3778.5027,3932.4883
84,line,0,22.0,1341.2931,1601.4745
84,line,1,22.0,1872.2756,1877.5856
85,line,0,22.0,1123.5902,1006.774
85,line,1,22.0,1436.8699,497.03082
86,line,0,22.0,1436.8699,491.7209
86,line,1,22.0,1776.6991,348.3556
87,line,0,23.0,104.10358,1001.4642
87,line,1,23.0,704.11395,1001.4642
88,line,0,23.0,3688.2363,916.50696
88,line,1,23.0,3051.0576,2392.6401
89,line,0,24.0,321.80646,353.6654
89,line,1,24.0,889.9576,353.6654
90,line,0,24.0,895.26764,348.3556
90,line,1,24.0,1272.2656,672.25494
91,line,0,24.0,1123.5902,2950.1704
91,line,1,24.0,1659.8823,1723.6014
92,line,0,24.0,2392.6387,518.27
92,line,1,24.0,2801.4944,778.4513
93,line,0,24.0,2652.82,725.3532
93,line,1,24.0,2541.314,953.67584
94,line,0,24.0,3847.531,1405.011
94,line,1,24.0,3274.0706,1351.9128
95,line,0,24.0,3141.3242,3013.8882
95,line,1,24.0,2796.1853,3311.2395
96,line,0,24.0,1585.545,1436.8699
96,line,1,24.0,1659.8827,1734.2202
97,line,0,24.0,1659.8826,1734.2202
97,line,1,24.0,1994.402,1861.6558
98,line,0,24.0,3104.1553,2334.2305
98,line,1,24.0,3539.561,2015.6416
99,line,0,25.0,2923.6213,1612.0942
99,line,1,25.0,2323.6118,1792.6284
100,line,0,26.0,1442.1798,2196.175
100,line,1,26.0,1282.8848,2652.8196
101,line,0,26.0,863.4087,2833.3542
101,line,1,26.0,1474.0386,2620.962
102,line,0,26.0,1484.6583,2626.271
102,line,1,26.0,2042.19,2732.4673
103,line,0,27.0,3029.8179,2196.175
103,line,1,27.0,2721.848,1633.3347
104,line,0,27.0,2801.4954,1989.0918
104,line,1,27.0,2759.017,2408.568
105,line,0,27.0,2801.4954,2674.0593
105,line,1,27.0,3051.0576,3252.8296
106,line,0,27.0,3120.0847,2509.4548
106,line,1,27.0,3173.1833,2881.1428
107,line,0,28.0,783.7613,2323.6108
107,line,1,28.0,1012.08356,2913.0022
108,line,0,28.0,1012.08386,2934.241
108,line,1,28.0,539.5087,3359.0264
109,line,0,28.0,2042.1901,3194.4224
109,line,1,28.0,2695.298,3118.209
110,line,0,28.0,2721.848,3109.465
110,line,1,28.0,3109.4644,2366.0906
111,line,0,29.0,2801.4954,2100.5981
111,line,1,29.0,1829.7871,2583.7942
112,line,0,29.0,2238.6536,2403.2583
112,line,1,29.0,1951.922,2923.621
113,line,0,30.0,2955.4802,810.3104
113,line,1,30.0,3385.5752,1155.4487
114,line,0,30.0,1845.7266,4043.9946
114,line,1,30.0,1277.5752,3709.4763
115,line,0,31.0,3905.939,2992.649
115,line,1,31.0,3751.9536,3751.9534
116,line,0,31.0,2493.5254,2822.7346
116,line,1,31.0,2589.103,3449.2937
117,line,0,31.0,1994.4017,1606.7844
117,line,1,31.0,1251.0269,1500.588
118,line,0,32.0,1845.7266,3178.493
118,line,1,32.0,1458.1082,3555.4897
119,line,0,32.0,746.5925,3337.7876
119,line,1,32.0,1500.5876,3449.294
120,line,0,32.0,1776.6989,1431.56
120,line,1,32.0,2196.1746,1181.9984
121,line,0,32.0,2222.724,1166.0688
121,line,1,32.0,2843.9739,1415.6301
122,line,0,32.0,3114.775,380.21454
122,line,1,32.0,2493.5256,550.1288
123,line,0,32.0,980.2249,1293.5046
123,line,1,32.0,374.90466,1681.1221
124,line,0,32.0,3051.0571,3528.9414
124,line,1,32.0,2849.2832,3948.4167
125,line,0,33.0,1495.2781,3523.6316
125,line,1,33.0,1569.6157,4012.1345
126,line,0,33.0,921.8168,2382.019
126,line,1,33.0,438.62274,2493.5269
127,line,0,33.0,1155.4491,1994.4017
127,line,1,33.0,619.1567,1707.6714
128,line,0,34.0,3157.2537,1420.9404
128,line,1,34.0,2498.84,2291.7534
129,line,0,34.0,4070.5437,3268.76
129,line,1,34.0,3640.4487,3268.76
130,line,0,35.0,3959.0374,2689.989
130,line,1,35.0,3024.509,2631.5808
131,line,0,35.0,3035.1277,2859.9033
131,line,1,35.0,3789.1223,2536.0042
132,line,0,35.0,820.9301,2780.2559
132,line,1,35.0,189.06079,2780.2559
133,line,0,35.0,958.9856,1383.7717
133,line,1,35.0,417.38287,1601.4753
134,line,0,36.0,247.46889,2748.397
134,line,1,36.0,1054.5632,2950.17
135,line,0,36.0,3751.954,2228.034
135,line,1,36.0,3226.2825,2976.7207
136,line,0,36.0,2270.5127,879.3382
136,line,1,36.0,2599.7212,1288.1943
137,line,0,37.0,1389.0815,874.0284
137,line,1,37.0,1304.124,1447.4893
138,line,0,37.0,1314.7439,1447.4896
138,line,1,37.0,1128.9004,1771.3895
139,line,0,37.0,1128.9,1771.3889
139,line,1,37.0,507.65015,1898.8246
140,line,0,37.0,1702.3612,1766.0791
140,line,1,37.0,1203.2373,1851.0363
141,line,0,37.0,1739.53,1813.8676
141,line,1,37.0,1914.7539,2068.739
142,line,0,37.0,3321.8582,1479.3485
142,line,1,37.0,2928.932,2068.7388
143,line,0,40.0,1638.6433,2408.568
143,line,1,40.0,990.84595,2934.2397
144,line,0,40.0,810.3104,1511.2075
144,line,1,40.0,497.03064,1994.4014
145,line,0,40.0,2684.679,1150.1393
145,line,1,40.0,2859.9033,1484.658
146,line,0,40.0,2870.523,1484.6583
146,line,1,40.0,3433.3635,1484.6583
147,line,0,40.0,3704.1658,-607.41315
147,line,1,40.0,3717.4402,-594.13855
148,line,0,41.0,2466.9763,1851.0364
148,line,1,41.0,1824.4875,2472.287
149,line,0,41.0,714.7336,847.47925
149,line,1,41.0,937.7462,1277.5752
150,line,0,41.0,2291.752,2748.397
150,line,1,41.0,1760.7698,3348.407
151,line,0,41.0,1962.5427,2769.6362
151,line,1,41.0,2451.0469,3013.8877
152,line,0,41.0,3863.4604,1728.9104
152,line,1,41.0,3443.985,2105.9072
153,line,0,41.0,3327.168,2589.1023
153,line,1,41.0,2838.665,3348.4075
154,line,0,41.0,3151.9438,2817.4248
154,line,1,41.0,2774.9465,3035.1277
155,line,0,41.0,2955.4802,1282.885
155,line,1,41.0,2435.1172,1521.8267
156,line,0,41.0,3093.5356,343.04575
156,line,1,41.0,3518.319,619.1566
157,line,0,42.0,1835.1069,1702.3612
157,line,1,42.0,1750.1494,2312.9907
158,line,0,42.0,1574.9254,2366.0896
158,line,1,42.0,2366.0889,2366.0896
159,line,0,42.0,56.31514,1782.0087
159,line,1,42.0,497.03076,1824.4872
160,line,0,42.0,3236.901,327.11627
160,line,1,42.0,2849.2844,29.7659
161,line,0,43.0,1712.9808,4054.6143
161,line,1,43.0,1941.303,3534.2522
162,line,0,44.0,571.3683,1665.1925
162,line,1,44.0,720.04346,2052.81
163,line,0,44.0,263.39835,2275.8225
163,line,1,44.0,666.94507,2031.571
164,line,0,44.0,1160.759,1574.9254
164,line,1,44.0,682.87476,1888.2051
165,line,0,44.0,3560.8003,1697.0514
165,line,1,44.0,3348.4075,2159.006
166,line,0,44.0,3348.4072,2159.0063
166,line,1,44.0,3497.0823,2743.0867
167,line,0,44.0,2833.3542,1718.2908
167,line,1,44.0,3215.661,1909.4445
168,line,0,45.0,2408.568,1649.263
168,line,1,45.0,2127.148,2297.061
169,line,0,45.0,1872.2756,2302.3716
169,line,1,45.0,1951.9236,2743.0862
170,line,0,45.0,1484.6583,2732.4675
170,line,1,45.0,1091.7314,3045.7468
171,line,0,46.0,1564.3058,1659.8826
171,line,1,46.0,2445.7366,2111.218
172,line,0,46.0,507.65036,2557.2432
172,line,1,46.0,1224.476,3290.0022
173,line,0,46.0,672.25494,2780.2559
173,line,1,46.0,300.56705,3109.465
174,line,0,46.0,3449.294,-941.9322
174,line,1,46.0,3462.5686,-928.6576
175,line,0,47.0,1665.1925,1049.2526
175,line,1,47.0,1341.2928,1702.3616
176,line,0,47.0,1760.7693,863.4087
176,line,1,47.0,2323.61,1516.5171
177,line,0,47.0,3635.138,3698.856
177,line,1,47.0,2976.7202,3794.4326
178,line,0,47.0,3385.5762,-862.2848
178,line,1,47.0,3398.8506,-849.0102
179,line,0,47.0,3120.0847,1028.0133
179,line,1,47.0,2891.7627,1378.4619
180,line,0,47.0,2891.7622,1378.4618
180,line,1,47.0,2605.0322,1521.8269
181,line,0,48.0,1723.6006,1920.0641
181,line,1,48.0,2387.3286,2509.4546
182,line,0,48.0,1755.4595,1914.7543
182,line,1,48.0,1930.6837,1219.1667
183,line,0,48.0,1930.6837,1219.1671
183,line,1,48.0,1489.9685,820.92834
184,line,0,48.0,1484.6583,826.2399
184,line,1,48.0,1314.744,1192.6174
185,line,0,48.0,3608.5889,2966.0999
185,line,1,48.0,3199.7322,3167.8728
186,line,0,49.0,820.9301,1378.4618
186,line,1,49.0,1596.1646,1920.064
187,line,0,49.0,1707.671,1309.4341
187,line,1,49.0,1622.7136,1898.825
188,line,0,49.0,858.0989,1606.7844
188,line,1,49.0,783.7612,2206.7944
189,line,0,49.0,1171.3787,3056.367
189,line,1,49.0,1548.3755,3624.517
190,line,0,50.0,2647.5103,2870.523
190,line,1,50.0,3146.633,2350.16
191,line,0,50.0,3194.4224,1479.3485
191,line,1,50.0,3481.153,2015.6409
192,line,0,50.0,1134.2098,953.6758
192,line,1,50.0,810.31116,1983.781
193,line,0,50.0,921.8168,900.5775
193,line,1,50.0,921.8168,1426.2504
194,line,0,52.0,1070.492,1670.5023
194,line,1,52.0,1580.2346,1423.0193
195,line,0,52.0,1474.0387,1261.6456
195,line,1,52.0,1877.5852,1744.8401
196,line,0,52.0,1877.5854,1744.8398
196,line,1,52.0,2206.7944,1686.4316
197,line,0,52.0,1070.492,2859.9033
197,line,1,52.0,794.38184,3183.802
198,line,0,53.0,2084.6687,624.46655
198,line,1,53.0,1835.1074,1643.9529
