index,axis-0,axis-1,axis-2
0,0,1941.081619,2193.118969
1,0,1737.020402,2238.465906
2,0,1674.668364,2312.154678
3,0,1773.864789,2385.843451
4,0,2539.09435,2139.269481
5,0,2505.084147,2343.330697
6,0,2210.329057,2640.919971
7,1,2071.873722,1571.707342
8,1,2297.178257,1838.394343
9,1,2285.683128,1700.452791
10,1,2412.129551,1932.654403
11,1,2563.865258,2371.768344
12,1,2722.498043,2440.739121
13,1,2756.983431,2521.205026
14,1,2701.80681,2599.371906
15,1,2874.233751,2601.670931
16,1,2897.224009,2810.882285
17,2,2812.106976,1356.241856
18,2,2701.573817,1466.775015
19,2,2670.397798,1704.846434
20,2,2347.300872,1727.519902
21,2,1987.35956,2591.945888
22,2,2092.224352,2674.137211
23,2,2038.374864,2804.509655
24,2,2097.892719,2974.560669
25,3,2829.840278,1031.19706
26,3,3131.412958,1056.968037
27,3,3026.977552,1165.133278
28,3,2493.611015,1933.479479
29,3,2409.689707,2254.245368
30,3,2318.308726,2405.303723
31,3,2271.685777,2918.15622
32,3,2107.572997,3016.996872
33,3,2156.060864,3091.59359
34,3,2322.038562,3296.734566
35,3,2400.365117,3388.115546
36,4,2816.706887,21.9807931
37,4,2676.466309,373.7317511
38,4,2943.153309,382.9278546
39,4,2970.74162,569.14895
40,4,2991.432853,672.6051141
41,4,3154.663689,449.5996048
42,4,3191.448103,364.5356476
43,4,3143.16856,341.5453889
44,4,3042.011422,284.0697422
45,4,2625.887739,879.5174424
46,4,2791.417602,1394.499237
47,4,2600.598455,1941.667394
48,4,2244.249445,1914.079084
49,4,2120.102048,1957.760575
50,4,2021.243936,2061.216739
51,4,1940.77803,2079.608946
52,4,2377.592946,2357.791076
53,4,2177.577695,2486.536525
54,4,2708.652671,2286.521274
55,4,2559.215989,2166.971929
56,4,2133.903417,3196.668598
57,4,1180.065193,2718.00253
58,4,931.9973764,2679.569488
59,5,1242.226945,1091.612767
60,5,1304.578983,1185.140824
61,5,1602.168257,1443.051528
62,5,1962.109569,2126.089766
63,5,1942.270284,2418.010673
64,5,1962.109569,2528.543832
65,5,1704.198865,2633.408624
66,5,1962.109569,2650.413725
67,5,1956.441202,2743.941782
68,5,2234.191191,2763.781067
69,6,1585.958425,848.1570219
70,6,1669.161296,955.5643644
71,6,1493.678877,1072.048384
72,6,1496.704436,1202.147418
73,6,1107.920112,1394.270411
74,6,1118.509568,1539.497241
75,6,1115.484009,1654.468481
76,6,1051.947271,1690.775188
77,6,1054.97283,1914.66655
78,6,1371.14374,1553.112256
79,6,1495.191657,1891.974858
80,6,1711.519121,2022.073892
81,6,1779.594197,2144.60903
82,6,2083.662871,2335.219243
83,6,2150.225168,2719.465229
84,6,2256.119731,2652.902932
85,6,2374.11653,2683.158522
86,6,2375.629309,2925.203237
87,6,2594.982425,3052.276713
88,7,2741.787775,1368.142649
89,7,2846.169558,1635.904616
90,7,1622.683122,1059.887748
91,7,1672.604845,1144.603398
92,7,1781.524967,1215.704033
93,7,1926.751796,1038.708835
94,7,1949.443488,901.045903
95,7,1898.008986,1229.319048
96,7,1819.344454,1383.622555
97,7,1742.192701,1488.004338
98,7,1758.833275,1596.92446
99,7,1822.370013,1723.997936
100,7,1907.085663,1876.788663
101,7,1766.397172,2192.959618
102,7,1764.884393,2400.210406
103,7,1807.242218,2822.275879
104,7,1914.649561,2631.665665
105,7,1651.425932,3191.39407
106,7,1920.700678,3198.957967
107,7,2035.671918,3097.601743
108,7,2156.694276,3155.087363
109,7,2134.002584,3259.469146
110,7,1953.981827,3374.440386
111,7,1966.084063,3484.873288
112,7,1598.478651,3702.713532
113,8,1188.835956,1431.141569
114,8,1163.546671,1608.166561
115,8,1244.012577,1734.612984
116,8,1262.404784,2042.68245
117,8,1154.350568,2408.227563
118,8,1483.111285,3272.661361
119,8,1781.984648,3235.876947
120,8,2046.372623,2920.910403
121,8,2227.995666,2702.502945
122,8,2329.152804,2640.429246
123,8,2041.774571,3130.121757
124,8,2073.960933,3288.754542
125,8,1965.906717,3355.426292
126,8,1855.553475,3520.956154
127,8,2625.727212,2654.223402
128,8,2678.604807,2571.45847
129,8,2786.659023,2654.223402
130,9,1695.687406,1123.898666
131,9,1824.432854,1252.644114
132,9,1697.986431,1365.296382
133,9,1727.873768,1742.336625
134,9,1474.980922,2333.186273
135,9,1580.736112,2353.877506
136,9,1569.240983,2648.152817
137,9,1431.299431,2744.711904
138,10,1272.608516,517.1128118
139,10,1936.451968,999.2727932
140,10,1957.415446,1149.511048
141,10,3208.236267,1495.408426
142,11,2270.375645,1120.42146
143,11,2014.881884,1202.477851
144,11,2190.184173,1280.804405
145,11,1787.361893,1383.374893
146,11,1841.444514,1446.782104
147,11,1074.963231,1517.64893
148,11,1009.691103,1692.951218
149,11,1114.126509,2106.963006
150,11,1278.239289,2271.075786
151,11,1119.721263,2534.029219
152,11,1108.531755,2645.924297
153,11,1175.668801,2733.575441
154,11,1009.691103,2873.444288
155,11,1360.29568,3005.853463
156,11,1487.110101,3013.313135
157,11,1557.976984,2907.012811
158,11,1500.164527,2770.8738
159,11,1723.954682,2880.90396
160,12,2968.432771,1648.484154
161,12,2973.030823,1779.528628
162,12,2522.421753,1846.200379
163,12,2193.661054,1954.254594
164,12,2051.12145,1795.621809
165,12,1917.777949,1850.79843
166,12,1722.36075,1751.940318
167,12,1561.428939,1735.847137
168,12,1582.120172,1848.499404
169,12,3315.585678,3825.661696
170,13,2088.97881,1557.515854
171,13,1961.44055,1617.033709
172,13,2012.455854,1707.727583
173,13,2273.200742,2027.990325
174,13,2352.557882,1979.809204
175,13,2386.568084,1863.607678
176,13,3367.195683,3385.564251
177,13,3092.279877,3790.8525
178,14,2874.991462,926.8054965
179,14,2784.297588,932.4738636
180,14,2645.422594,1190.384568
181,14,2656.759328,1363.269765
182,14,2631.251676,1465.300373
183,14,2543.391985,1482.305474
184,14,2452.698111,1428.455987
185,14,2138.103736,1731.713617
186,14,2257.139446,1740.216168
187,14,2191.953224,1955.614118
188,14,2104.093533,1944.277384
189,14,2070.083331,2171.012069
190,14,1854.68538,2307.05288
191,14,1792.333342,2434.59114
192,14,1721.478753,2536.621748
193,14,1687.46855,2547.958482
194,14,1579.769575,2641.48654
195,14,1704.473651,2695.336027
196,14,1489.075701,2839.879389
197,15,2587.260064,1070.144375
198,15,2106.763657,1129.919048
199,15,2171.136381,1302.345988
200,15,2134.351967,1205.786902
201,15,389.3913275,2274.833968
202,15,584.8085264,2295.525201
203,15,1359.580244,2240.34858
204,15,1354.982193,2332.309615
205,15,1377.972451,2690.957651
206,15,1377.972451,2787.516737
207,15,1488.325693,2778.320634
208,15,1594.080883,2810.506996
209,16,2012.349493,2223.304451
210,16,1796.01901,2342.659201
